Loyalty#,Gender,Income,Customer Lifetime Value,EnrollmentType,rejoined_program,Days_in_prog,Cancelled_program,Enrollment_year,Enrollment_month,Location_cluster,TotalFlights,TotalDistance,TotalPointsAccumulated,TotalPointsRedeemed,RecencyInMonths,Pct_Spend_Month_1,Pct_Spend_Month_2,Pct_Spend_Month_3,Pct_Spend_Month_4,Pct_Spend_Month_5,Pct_Spend_Month_6,Pct_Spend_Month_7,Pct_Spend_Month_8,Pct_Spend_Month_9,Pct_Spend_Month_10,Pct_Spend_Month_11,Pct_Spend_Month_12,Total_Spend_Month_1,Total_Spend_Month_2,Total_Spend_Month_3,Total_Spend_Month_4,Total_Spend_Month_5,Total_Spend_Month_6,Total_Spend_Month_7,Total_Spend_Month_8,Total_Spend_Month_9,Total_Spend_Month_10,Total_Spend_Month_11,Total_Spend_Month_12,TotalFlightsWithCompanions,TotalFlightSpend,PctFlightsWithCompanions,PctPointsSpent,Avg_Flights_per_day,Avg_spent_per_flight,Loyalty_Aurora,Loyalty_Nova,Loyalty_Star,Education_Bachelor,Education_College,Education_Doctor,Education_High School or Below,Education_Master,Marital_Divorced,Marital_Married,Marital_Single,st_scaled_km_cluster2,st_scaled_ward_cluster2,mm_scaled_km_cluster3,mm_scaled_ward_cluster2,rb_scaled_km_cluster3,rb_scaled_ward_cluster2
100018,0,82877.0,7919.2,0,0,874.0,0,2019,8,5,229.9,530230.0,53014.3,20562.8,1.0183968462549278,0.0484208977577747,0.0608581080953629,0.0742920306407893,0.0619808240418151,0.0,0.1326892932661565,0.1379463654146145,0.1083185102887334,0.0734892283780036,0.0653970721107323,0.124303442656038,0.1123042273499791,0.0,0.0,64.6,0.0,0.0,0.0,0.0,108.3,0.0,29.0,0.0,0.0,49.0,201.9,0.2131361461505002,0.3878727060434637,0.2630434782608695,34.44628099173554,1,0,0,1,0,0,0,0,0,1,0,1,0,2,0,2,0
100102,1,0.0,2887.74,0,0,2122.0,0,2016,3,1,247.7,339114.6,33903.96,18760.6,1.0183968462549278,0.0608840383247266,0.0286397223215223,0.0334028827311028,0.0496346149535334,0.0468086913741049,0.0804035870736043,0.1142049483305195,0.0146345736604219,0.1795914105608902,0.1521828128631581,0.0578717058420314,0.1817410119643841,0.0,0.0,108.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.9,58.0,186.2,0.2341542188130803,0.5533453909218864,0.2122905027932961,59.00756097560976,0,1,0,0,1,0,0,0,0,0,1,1,0,1,1,2,0
100140,0,0.0,2838.07,0,0,884.0,0,2019,7,5,216.8,432030.8,43192.58,4896.0,2.0039421813403417,0.0434426468620304,0.0,0.1729079392803115,0.0125975341134981,0.1645268701244519,0.0652968634890529,0.1643418846477798,0.0080604122282114,0.0793728922884439,0.0090987850227978,0.1351463607869684,0.1452078111564532,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,48.0,0.2490774907749077,0.1133528027267646,0.2452488687782805,13.090728782287822,0,1,0,0,1,0,0,0,1,0,0,1,0,2,0,2,0
100214,1,42837.0,4170.57,0,0,1242.0,0,2018,8,2,112.3,364601.7,36453.77,12908.6,1.0183968462549278,0.0,0.0651883193425535,0.0574151864128182,0.0,0.0,0.1696419876462708,0.0,0.2242196074644679,0.1357277998955937,0.0898488688549908,0.0074159682249599,0.2505422621583446,0.0,0.0,0.0,0.0,0.0,68.4,0.0,0.0,0.0,0.0,58.9,0.0,20.0,127.3,0.1780943900267141,0.3541087794211682,0.2122905027932961,59.00756097560976,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,2,0
100272,0,80979.0,6622.05,0,0,1816.0,0,2017,1,1,186.4,429630.5,42953.25,10891.4,2.0039421813403417,0.034944969239813,0.1105257460145623,0.0781363459109613,0.0411265736585706,0.054966737092071,0.1674536851111382,0.0707830024503384,0.1790043826718583,0.0245615873071304,0.044606636284798,0.0516249643507767,0.1422653699079813,0.0,0.0,57.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,107.0,0.2843347639484978,0.2535640492861424,0.2122905027932961,59.00756097560976,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,2,0
100301,1,52499.0,48356.96,0,0,1930.0,0,2016,9,1,238.6,456142.3,45605.63,11013.0,1.0183968462549278,0.0341405216855901,0.0948102240885609,0.073544428615502,0.0,0.1065800428587435,0.0458772305086016,0.1923030117114926,0.1342270680176986,0.0658887948702824,0.0056817546430122,0.1312131857404447,0.1157337372600707,0.0,28.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,44.0,0.0,69.0,109.0,0.2891869237217099,0.2414833431749545,0.2122905027932961,59.00756097560976,0,1,0,1,0,0,0,0,1,0,0,1,0,1,1,2,0
100364,1,61417.0,5143.88,0,0,1335.0,0,2018,5,0,174.9,343383.5,34332.25,8707.7,1.0183968462549278,0.0317485745909458,0.0131342979268763,0.0,0.0037684684225473,0.1762258517865854,0.148765956207356,0.1811355212664477,0.1853624507569413,0.060322291722797,0.0464161247806362,0.0,0.1531204625388665,0.0,0.0,0.0,85.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,85.5,0.2515723270440251,0.253630332995944,0.2122905027932961,59.00756097560976,0,1,0,1,0,0,0,0,0,1,0,1,0,2,0,2,0
100428,1,43145.0,5845.43,0,0,2333.0,0,2015,8,2,168.7,342343.2,34224.82,19927.1,1.0183968462549278,0.0134878722517751,0.0262359305322862,0.0145800620719115,0.0717315679089035,0.1254215507926703,0.011336801771346,0.1084762461862473,0.2243868631011061,0.1803039431617171,0.0623231911811369,0.078919333980427,0.0827966370604724,0.0,0.0,0.0,0.0,0.0,0.0,133.0,0.0,39.0,0.0,25.0,0.0,29.0,197.0,0.1719027860106698,0.5822411922107991,0.2122905027932961,59.00756097560976,1,0,0,1,0,0,0,0,0,1,0,1,0,1,1,2,0
100585,1,87957.0,7334.33,0,0,1870.0,0,2016,11,0,207.6,415571.2,41549.82,26735.5,1.0183968462549278,0.0728929752282921,0.0352194064859968,0.0362971488203799,0.0943108778810594,0.1813983791024846,0.0,0.1442013467206356,0.1488480575848463,0.0467718031028774,0.0664168942248125,0.0,0.1736431108486149,68.4,0.0,50.0,76.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,42.0,264.4,0.2023121387283237,0.6434564578137764,0.2122905027932961,59.00756097560976,0,0,1,1,0,0,0,0,1,0,0,1,0,1,1,2,0
100642,0,27005.0,4892.63,0,0,2415.0,0,2015,5,4,187.9,394647.6,39458.66,7712.1,2.0039421813403417,0.0357082577056595,0.0,0.1274665688089762,0.0656048634190821,0.0,0.1619826927726385,0.2270685319775177,0.1456187310973054,0.1021342336511174,0.0570787249237556,0.0773373956439473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,33.0,76.0,0.175625332623736,0.1954475899587061,0.2122905027932961,59.00756097560976,0,1,0,1,0,0,0,0,0,1,0,1,0,1,1,1,0
