Loyalty#,Gender,Income,Customer Lifetime Value,EnrollmentType,rejoined_program,Days_in_prog,Cancelled_program,Enrollment_year,Enrollment_month,Location_cluster,TotalFlights,TotalDistance,TotalPointsAccumulated,TotalPointsRedeemed,RecencyInMonths,Pct_Spend_Month_1,Pct_Spend_Month_2,Pct_Spend_Month_3,Pct_Spend_Month_4,Pct_Spend_Month_5,Pct_Spend_Month_6,Pct_Spend_Month_7,Pct_Spend_Month_8,Pct_Spend_Month_9,Pct_Spend_Month_10,Pct_Spend_Month_11,Pct_Spend_Month_12,Total_Spend_Month_1,Total_Spend_Month_2,Total_Spend_Month_3,Total_Spend_Month_4,Total_Spend_Month_5,Total_Spend_Month_6,Total_Spend_Month_7,Total_Spend_Month_8,Total_Spend_Month_9,Total_Spend_Month_10,Total_Spend_Month_11,Total_Spend_Month_12,TotalFlightsWithCompanions,TotalFlightSpend,PctFlightsWithCompanions,PctPointsSpent,Avg_Flights_per_day,Avg_spent_per_flight,Loyalty_Aurora,Loyalty_Nova,Loyalty_Star,Education_Bachelor,Education_College,Education_Doctor,Education_High School or Below,Education_Master,Marital_Divorced,Marital_Married,Marital_Single,st_scaled_km_cluster3,st_scaled_ward_cluster2,mm_scaled_km_cluster3,mm_scaled_ward_cluster2,rb_scaled_km_cluster2,rb_scaled_ward_cluster2
100504,0,59762.0,8807.61,0,0,243.0,1,2020,7,1,106.6,152468.1,15242.21,0.0,10.052562417871222,0.113697423142707,0.0483525682955424,0.1865215083639446,0.0,0.0,0.0,0.0,0.0124890025790223,0.0,0.3116641221975028,0.2467017578159597,0.080573617605321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0938086303939962,0.0,0.4386831275720164,82.62298311444654,0,1,0,1,0,0,0,0,1,0,0,2,0,2,1,1,1
100590,0,51840.0,34090.04,1,0,297.0,0,2021,3,0,28.0,85694.0,8566.0,4147.0,2.0039421813403417,0.0,0.0,0.0,0.0838197525099229,0.1654214335745972,0.0988792902171375,0.1585337380340882,0.0,0.0,0.2360494980154097,0.2572962876488442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,3.0,41.0,0.1071428571428571,0.4841232780761149,0.0942760942760942,1217.5014285714285,0,0,1,1,0,0,0,0,0,1,0,2,0,2,1,0,0
101547,0,0.0,5619.69,0,0,447.0,0,2020,10,1,58.0,122170.0,12215.0,4735.0,2.0039421813403417,0.1685632419156774,0.074662300450266,0.1608677855096193,0.1106017191977077,0.0,0.0,0.1289398280802292,0.2143266475644699,0.0349570200573065,0.0,0.1070814572247237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,11.0,47.0,0.1896551724137931,0.3876381498158002,0.1297539149888143,96.89120689655172,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
101644,0,19683.0,8382.63,0,0,47.0,0,2021,11,1,6.0,20831.0,2083.0,0.0,1.0183968462549278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1276595744680851,1397.105,0,0,1,0,0,0,0,1,0,1,0,1,1,2,1,0,0
101768,1,52423.0,13916.93,0,0,119.0,0,2021,9,2,6.0,12660.0,1265.0,0.0,1.0183968462549278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5675889328063242,0.4324110671936759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0504201680672268,2319.4883333333332,0,1,0,1,0,0,0,0,0,0,1,1,1,2,1,0,0
101876,1,0.0,4949.53,0,0,242.0,1,2020,10,4,59.1,139229.6,13920.06,9792.0,7.030223390275952,0.1295971425410522,0.0,0.0,0.0,0.1928870996245706,0.0547411433571407,0.0,0.0,0.0,0.0,0.3089368867662927,0.3138377277109437,41.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,97.0,0.2876480541455161,0.703445243770501,0.2442148760330578,83.74839255499154,1,0,0,0,1,0,0,0,0,0,1,1,0,2,1,0,0
102168,0,59253.0,7166.34,0,0,360.0,0,2021,1,1,83.0,145668.0,14564.0,0.0,1.0183968462549278,0.0,0.0,0.0741554517989563,0.056097226036803,0.113361713814886,0.2290579511123317,0.1328618511397967,0.0541746772864597,0.0,0.1209145839055204,0.1258582806921175,0.0935182642131282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.2048192771084337,0.0,0.2305555555555555,86.34144578313253,0,1,0,1,0,0,0,0,1,0,0,2,0,2,1,0,0
102376,1,0.0,12765.78,1,0,286.0,0,2021,3,1,72.0,97909.0,9788.0,4550.0,1.0183968462549278,0.0,0.0,0.0,0.0,0.1871679607682877,0.2171025745811197,0.0540457703310175,0.1295463833265222,0.0913363302002452,0.0641601961585615,0.0,0.256640784634246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,30.0,45.0,0.4166666666666667,0.4648549243972211,0.2517482517482518,177.3025,1,0,0,0,1,0,0,0,0,0,1,2,0,2,1,0,0
102615,0,10375.0,7590.05,0,1,105.0,0,2021,9,0,8.0,22608.0,2260.0,0.0,3.0223390275952693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0761904761904762,948.75625,1,0,0,0,0,1,0,0,0,1,0,2,1,2,1,0,0
102726,1,71391.0,8044.87,0,0,488.0,0,2020,8,0,98.2,294479.4,29442.14,15122.6,1.0183968462549278,0.0632426854841394,0.0725151092957237,0.0,0.0565176308515617,0.0,0.0151483553844931,0.0345762909897174,0.1041704169601802,0.1546219126734673,0.2004698028064536,0.0734128021944057,0.2253249933598576,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,118.0,0.0,0.0,30.0,148.0,0.305498981670061,0.5136379352859541,0.2012295081967213,81.92331975560082,0,1,0,1,0,0,0,0,0,1,0,2,0,2,1,0,0
102730,1,29735.0,2453.57,0,0,386.0,0,2020,12,3,86.0,142378.0,14233.0,0.0,1.0183968462549278,0.0,0.1112204032881332,0.0086418885688189,0.0,0.224197287992693,0.0893697744677861,0.0860675894049041,0.2188575844867561,0.076231293472915,0.0041452961427668,0.1240075879997189,0.0572612941755076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.4302325581395348,0.0,0.2227979274611398,28.529883720930233,0,0,1,0,0,0,1,0,0,0,1,2,0,2,1,0,0
102740,0,93836.0,16922.13,0,0,206.0,0,2021,6,1,18.0,31917.0,3191.0,0.0,1.0183968462549278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6449388906298966,0.0,0.3550611093701034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1111111111111111,0.0,0.087378640776699,940.1183333333332,0,0,1,1,0,0,0,0,0,1,0,2,1,2,1,0,0
102788,1,42596.0,11124.21,1,0,296.0,0,2021,3,4,219.7,405493.0,40540.7,10750.2,1.0183968462549278,0.0107546243651441,0.0,0.1674388947403473,0.1771123833579588,0.0154947990537903,0.0499707701149708,0.1361264112361158,0.1803210107373578,0.102638582954907,0.0205225859444952,0.0369843145283628,0.1026356229665496,0.0,0.0,0.0,0.0,106.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,106.4,0.218479745106964,0.2651705569958091,0.7422297297297297,50.63363677742376,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
103043,1,90213.0,3351.21,0,0,28.0,0,2021,12,0,238.4,533939.1,53387.01,6775.4,1.0183968462549278,0.0218836005237978,0.089377921707921,0.0727916772263514,0.0975600618952063,0.1026442574701223,0.114406856649211,0.1022866798496488,0.1139014902688875,0.1418564178814284,0.1113909544662643,0.0158100256972623,0.0160900563638982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.5,0.0,0.0,0.0,47.0,66.5,0.1971476510067114,0.1269110219883076,8.514285714285714,14.057088926174496,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0
103362,1,0.0,4807.0,0,1,60.0,0,2021,10,4,9.0,11840.0,1184.0,0.0,2.0039421813403417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1111111111111111,0.0,0.15,534.1111111111111,0,0,1,0,1,0,0,0,0,0,1,1,1,2,1,0,0
103502,1,46900.0,2580.85,0,0,594.0,0,2020,5,1,96.2,268996.6,26895.06,4943.8,1.0183968462549278,0.0733963783683695,0.0,0.0,0.0469602967979993,0.0922846054256804,0.0,0.2194265415284442,0.1457743541007159,0.2678213024994181,0.104966488269593,0.0,0.0493700330097794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.4,0.0,0.0,0.0,42.0,49.4,0.4365904365904365,0.1838181435549874,0.1619528619528619,26.827962577962577,0,0,1,1,0,0,0,0,0,1,0,2,1,0,1,0,0
103699,1,74454.0,5595.39,0,0,351.0,0,2021,1,5,78.0,136268.0,13624.0,0.0,1.0183968462549278,0.0,0.1021726365237815,0.0602613035819142,0.019157369348209,0.2122724603640634,0.1680857310628303,0.0642248972401644,0.0,0.0,0.1779947152084556,0.0,0.1958308866705813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.1538461538461538,0.0,0.2222222222222222,71.73576923076924,0,1,0,1,0,0,0,0,0,0,1,2,0,2,1,0,0
103758,0,97785.0,14727.51,0,0,190.0,0,2021,6,2,59.0,64577.0,6456.0,0.0,1.0183968462549278,0.0,0.0,0.0,0.0,0.0,0.0,0.1669764560099132,0.1516418835192069,0.0633519206939281,0.3640024783147459,0.0,0.2540272614622057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.1864406779661017,0.0,0.3105263157894737,249.618813559322,0,0,1,1,0,0,0,0,0,0,1,2,1,2,1,0,0
103975,1,54483.0,2411.26,0,0,131.0,0,2021,8,1,50.0,54588.0,5457.0,9014.0,1.0183968462549278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2550852116547553,0.4658237126626351,0.0886934212937511,0.1903976543888583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,45.0,0.0,11.0,90.0,0.22,1.6518233461608942,0.3816793893129771,48.2252,0,0,1,1,0,0,0,0,0,1,0,2,0,2,1,0,0
103985,1,0.0,2761.69,0,1,120.0,0,2021,9,1,18.0,41615.0,4160.0,0.0,1.0183968462549278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0764423076923077,0.0,0.1884615384615384,0.7350961538461539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.3333333333333333,0.0,0.15,153.4272222222222,0,1,0,0,1,0,0,0,0,0,1,1,1,2,1,0,0
104267,1,39141.0,2701.04,1,0,285.0,0,2021,3,1,43.0,123974.0,12394.0,0.0,1.0183968462549278,0.0,0.0,0.0,0.1072293045021784,0.134419880587381,0.2246248184605454,0.0,0.0,0.0,0.2003388736485396,0.1948523479102791,0.1385347748910763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.627906976744186,0.0,0.1508771929824561,62.81488372093023,0,0,1,1,0,0,0,0,0,1,0,2,0,2,1,0,0
105063,1,18665.0,7251.33,1,0,288.0,0,2021,3,4,36.0,107325.0,10730.0,0.0,2.0039421813403417,0.0,0.0,0.0,0.1093196644920782,0.13690587138863,0.3515377446411929,0.0,0.0,0.2312208760484622,0.1054054054054054,0.0656104380242311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.1666666666666666,0.0,0.125,201.42583333333337,0,0,1,0,0,1,0,0,1,0,0,2,0,2,1,0,0
105073,1,0.0,7562.82,1,0,281.0,0,2021,3,1,62.0,155079.0,15504.0,0.0,1.0183968462549278,0.0,0.0,0.0,0.0654669762641898,0.1624742002063983,0.2425825593395252,0.132094943240454,0.0,0.1295149638802889,0.1248710010319917,0.0,0.1429953560371517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.1935483870967742,0.0,0.2206405693950178,121.98096774193549,1,0,0,0,1,0,0,0,0,0,1,2,0,2,1,0,0
105193,0,82664.0,8838.09,0,0,189.0,0,2021,6,3,11.0,5767.0,576.0,0.0,3.0223390275952693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.4545454545454545,0.0,0.0582010582010582,803.4627272727273,0,1,0,1,0,0,0,0,0,1,0,2,1,2,1,0,0
105251,0,66933.0,5074.25,0,0,1028.0,1,2017,10,1,66.5,141529.1,14151.01,0.0,19.021024967148488,0.3092337578731129,0.0782770982424576,0.0,0.2916639872348334,0.2578416664252234,0.0629834902243726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.225563909774436,0.0,0.2122905027932961,59.00756097560976,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1
105835,1,56146.0,4756.13,1,0,258.0,0,2021,4,1,49.0,93089.0,9306.0,0.0,1.0183968462549278,0.0,0.0,0.0,0.0,0.230281538792177,0.0138620245003223,0.0,0.0,0.2584354180098861,0.0516870836019772,0.1528046421663443,0.2929292929292929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.3061224489795918,0.0,0.189922480620155,97.0638775510204,0,0,1,1,0,0,0,0,0,1,0,2,0,2,1,0,0
105841,1,31737.0,17420.57,1,0,298.0,0,2021,3,2,296.7,440064.8,43997.48,4245.0,1.0183968462549278,0.0359793333618198,0.0900601579908667,0.1382938295556927,0.0780419696764451,0.0344631101599455,0.0465708490577187,0.0983217675194124,0.0554527213831337,0.0739708274201158,0.0367350584624392,0.1057556023663173,0.2063547730460926,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,45.0,42.0,0.1516683518705763,0.0964827985602811,0.9956375838926174,58.7144253454668,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0
106046,1,22724.0,2658.22,1,0,261.0,0,2021,4,4,236.7,535013.0,53489.6,12200.3,1.0183968462549278,0.0831845816756902,0.1038854281953875,0.0703215204450958,0.0249768179234841,0.0160655529299153,0.1735920627561245,0.0666608088301277,0.0949122820136998,0.1157292258682061,0.1016969653914031,0.0441981244952289,0.1047766294756363,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,45.6,30.0,56.0,119.6,0.2365863962822137,0.2280873291256618,0.906896551724138,11.23033375580904,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0
