Loyalty#,Income,Days_in_prog,Location_cluster
100011,34148.0,0.0,1
100012,34148.0,0.0,4
100013,34148.0,0.0,5
100014,34148.0,0.0,3
100015,34148.0,0.0,4
100016,34148.0,0.0,5
100017,34148.0,0.0,5
100018,82877.0,874.0,5
100102,0.0,2122.0,1
100140,0.0,884.0,5
100214,42837.0,1242.0,2
100272,80979.0,1816.0,1
100301,52499.0,1930.0,1
100364,61417.0,1335.0,0
100380,51641.0,2254.0,4
100428,43145.0,2333.0,2
100504,59762.0,243.0,1
100550,30374.0,2145.0,4
100585,87957.0,1870.0,0
100590,51840.0,297.0,0
100642,27005.0,2415.0,4
100644,17622.0,1256.0,5
100646,95697.0,1175.0,6
100727,28142.0,1745.0,4
100737,0.0,622.0,2
100753,21606.0,1169.0,4
100816,18577.0,2129.0,4
100853,0.0,1071.0,1
100883,0.0,2012.0,0
100890,0.0,1612.0,1
101018,33640.0,1734.0,0
101148,12964.0,2251.0,2
101356,25666.0,2228.0,1
101363,37449.0,986.0,3
101487,81872.0,2213.0,4
101515,50296.0,1807.0,3
101540,50719.0,581.0,1
101544,33651.0,1726.0,4
101547,0.0,447.0,1
101581,76357.0,2266.0,1
101594,25237.0,1220.0,1
101644,19683.0,47.0,1
101663,86148.0,833.0,1
101664,76184.0,1992.0,3
101709,47593.0,1088.0,3
101768,52423.0,119.0,2
101876,0.0,242.0,4
101895,68297.0,2132.0,4
101902,0.0,723.0,1
101945,74057.0,1861.0,3
102168,59253.0,360.0,1
102184,61469.0,977.0,5
102207,74487.0,2408.0,4
102299,0.0,1266.0,0
102308,0.0,44.0,4
102311,60920.0,793.0,1
102376,0.0,286.0,1
102464,39161.0,891.0,4
102615,10375.0,105.0,0
102726,71391.0,488.0,0
102730,29735.0,386.0,3
102740,93836.0,206.0,1
102788,42596.0,296.0,4
102851,38688.0,1600.0,2
102877,0.0,1642.0,1
102982,71794.0,768.0,5
103043,90213.0,28.0,0
103151,45173.0,2061.0,2
103217,0.0,1892.0,4
103304,48269.0,1905.0,5
103340,0.0,660.0,2
103352,51705.0,281.0,4
103359,0.0,1030.0,2
103362,0.0,60.0,4
103383,11432.0,245.0,1
103436,48567.0,2055.0,4
103490,22510.0,1979.0,5
103502,46900.0,594.0,1
103536,0.0,2272.0,2
103699,74454.0,351.0,5
103731,80055.0,1075.0,0
103758,97785.0,190.0,2
103823,16531.0,1538.0,1
103860,59367.0,1691.0,0
103862,29950.0,1990.0,1
103916,20325.0,1749.0,5
103969,28013.0,1366.0,4
103970,23815.0,1170.0,5
103975,54483.0,131.0,1
103985,0.0,120.0,1
104103,0.0,955.0,2
