Loyalty#,Customer Lifetime Value,Income,TotalPointsAccumulated,TotalPointsRedeemed
100011,5780.18,34148.0,0.0,0.0
100012,5780.18,34148.0,0.0,0.0
100013,5780.18,34148.0,0.0,0.0
100014,5780.18,34148.0,0.0,0.0
100015,5780.18,34148.0,0.0,0.0
100016,5780.18,34148.0,0.0,0.0
100017,5780.18,34148.0,0.0,0.0
100018,7919.2,82877.0,53014.3,20562.8
100102,2887.74,0.0,33903.96,18760.6
100140,2838.07,0.0,43192.58,4896.0
100214,4170.57,42837.0,36453.77,12908.6
100272,6622.05,80979.0,42953.25,10891.4
100301,48356.96,52499.0,45605.63,11013.0
100364,5143.88,61417.0,34332.25,8707.7
100380,2465.62,51641.0,36723.94,17829.6
100428,5845.43,43145.0,34224.82,19927.1
100504,8807.61,59762.0,15242.21,0.0
100550,7861.8,30374.0,40732.97,12189.5
100585,7334.33,87957.0,41549.82,26735.5
100590,34090.04,51840.0,8566.0,4147.0
100642,4892.63,27005.0,39458.66,7712.1
100644,4458.11,17622.0,27687.5,25301.4
100646,2471.53,95697.0,27950.98,4583.0
100727,3873.65,28142.0,46684.77,15212.8
100737,12786.67,0.0,37386.63,23519.0
100753,2534.31,21606.0,52798.91,8093.9
100816,6273.91,18577.0,37343.56,0.0
100853,10153.89,0.0,33304.96,9061.1
100883,3561.04,0.0,22999.14,0.0
100890,8007.4,0.0,25234.48,15448.8
101018,4392.98,33640.0,46440.11,9788.0
101148,4770.55,12964.0,29586.21,8168.8
101356,7482.64,25666.0,0.0,0.0
101363,12898.59,37449.0,28356.32,19783.3
101487,14024.36,81872.0,48403.1,38478.8
101515,7737.27,50296.0,44554.36,26917.7
101540,2688.88,50719.0,29487.96,7444.0
101544,24249.34,33651.0,34293.41,14158.0
101547,5619.69,0.0,12215.0,4735.0
101581,4595.46,76357.0,32924.11,13061.4
101594,5205.75,25237.0,42150.78,13099.0
101644,8382.63,19683.0,2083.0,0.0
101663,5129.74,86148.0,44072.35,14656.6
101664,9002.41,76184.0,37758.53,0.0
101709,8396.61,47593.0,43082.66,6912.2
101768,13916.93,52423.0,1265.0,0.0
101876,4949.53,0.0,13920.06,9792.0
101895,24543.2,68297.0,35706.44,0.0
101902,6265.34,0.0,75870.16,13834.1
101945,4202.66,74057.0,37235.98,10085.0
102168,7166.34,59253.0,14564.0,0.0
102184,4923.18,61469.0,49981.84,0.0
102207,6960.92,74487.0,29020.8,0.0
102299,2089.34,0.0,29220.57,0.0
102308,12866.89,0.0,0.0,0.0
102311,7507.46,60920.0,52852.08,11157.0
102376,12765.78,0.0,9788.0,4550.0
102464,2725.68,39161.0,29787.02,12224.6
102615,7590.05,10375.0,2260.0,0.0
102726,8044.87,71391.0,29442.14,15122.6
102730,2453.57,29735.0,14233.0,0.0
102740,16922.13,93836.0,3191.0,0.0
102788,11124.21,42596.0,40540.7,10750.2
102851,19435.63,38688.0,41041.39,15808.7
102877,2863.04,0.0,51647.4,10598.9
102982,5235.57,71794.0,32186.93,0.0
103043,3351.21,90213.0,53387.01,6775.4
103151,32613.69,45173.0,46937.87,10133.4
103217,6439.33,0.0,34110.19,0.0
103304,2683.47,48269.0,40960.85,14403.9
103340,7577.07,0.0,36112.33,0.0
103352,5555.49,51705.0,0.0,0.0
103359,4502.87,0.0,37976.46,8789.4
103362,4807.0,0.0,1184.0,0.0
103383,13466.92,11432.0,0.0,0.0
103436,5015.01,48567.0,46864.41,11579.0
103490,17651.96,22510.0,34165.23,0.0
103502,2580.85,46900.0,26895.06,4943.8
103536,9202.64,0.0,51234.3,4400.0
103699,5595.39,74454.0,13624.0,0.0
103731,4015.34,80055.0,27544.41,3940.0
103758,14727.51,97785.0,6456.0,0.0
103823,4812.53,16531.0,37195.3,11555.9
103860,3358.53,59367.0,44496.12,18182.8
103862,4878.83,29950.0,38237.6,25910.4
103916,3803.92,20325.0,41015.8,13461.5
103969,31410.93,28013.0,40223.13,13885.0
103970,8257.67,23815.0,48374.71,0.0
103975,2411.26,54483.0,5457.0,9014.0
103985,2761.69,0.0,4160.0,0.0
104103,8262.88,0.0,41674.65,11895.9
104267,2701.04,39141.0,12394.0,0.0
104353,15777.89,98713.0,46852.76,8133.9
104431,2822.59,25531.0,41222.22,23053.9
104541,8621.0,44988.0,49695.72,16664.5
104586,7772.58,74755.0,34205.01,3789.0
104673,14723.41,38401.0,47508.45,8479.7
104732,8382.48,25998.0,27412.13,3149.0
104739,5498.94,22520.0,0.0,0.0
104849,2816.76,42937.0,46239.42,5270.6
104960,2551.23,79751.0,18315.01,4856.0
105063,7251.33,18665.0,10730.0,0.0
105073,7562.82,0.0,15504.0,0.0
105074,2799.75,65351.0,47103.17,14423.4
105145,4839.11,0.0,0.0,0.0
105193,8838.09,82664.0,576.0,0.0
105214,5897.99,77835.0,52950.72,22544.0
105251,5074.25,66933.0,14151.01,0.0
105335,11611.95,28915.0,35531.76,21566.3
105352,3923.27,0.0,0.0,0.0
105552,8256.3,62902.0,45596.84,6420.0
105688,5507.06,0.0,30217.03,12901.5
105700,7944.97,0.0,0.0,0.0
105712,8311.14,0.0,32220.49,9628.0
105789,2943.05,0.0,50746.4,10944.0
105835,4756.13,56146.0,9306.0,0.0
105841,17420.57,31737.0,43997.48,4245.0
105921,5041.45,61972.0,42887.93,27424.6
105932,3671.82,42460.0,31991.36,6474.0
105992,5905.97,59848.0,51621.15,16275.6
106001,4914.04,10037.0,80963.08,31988.9
106037,11281.52,86195.0,56344.18,0.0
106038,7380.09,21841.0,29975.35,21945.0
106046,2658.22,22724.0,53489.6,12200.3
106048,11315.2,11885.0,596.0,0.0
106218,16473.17,22828.0,44714.74,15829.9
106397,7902.68,0.0,30059.75,3579.0
106444,8447.8,0.0,12108.0,12947.0
