,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_scaler__scaler_name,param_outlier_remover__threshold,param_outlier_remover__outlier_method,param_outlier_remover__n_neighbors,param_outlier_remover__metric_LOF,param_outlier_remover__max_samples_IF,param_outlier_remover__estimators_IF,param_outlier_remover__contamination_LOF,param_outlier_remover__contamination_IF,param_imputer__simple_strategy_num,param_imputer__knn_scaling_method,param_imputer__knn_neighbors,param_imputer__iterative_max_iter,param_imputer__imputation_method,params,split0_test_score,mean_test_score,std_test_score,rank_test_score
0,2.3528661727905273,0.0,4.77677583694458,0.0,standard,4.0,LOF,20,minkowski,0.7,200,0.01,0.5,median,robust,15,20,simple,"{'scaler__scaler_name': 'standard', 'outlier_remover__threshold': 4, 'outlier_remover__outlier_method': 'LOF', 'outlier_remover__n_neighbors': 20, 'outlier_remover__metric_LOF': 'minkowski', 'outlier_remover__max_samples_IF': 0.7, 'outlier_remover__estimators_IF': 200, 'outlier_remover__contamination_LOF': 0.01, 'outlier_remover__contamination_IF': 0.5, 'imputer__simple_strategy_num': 'median', 'imputer__knn_scaling_method': 'robust', 'imputer__knn_neighbors': 15, 'imputer__iterative_max_iter': 20, 'imputer__imputation_method': 'simple'}",-0.8524733452107515,-0.8524733452107515,0.0,135
1,4.910153865814209,0.0,6.900380849838257,0.0,robust,2.0,LOF,90,euclidean,0.7,200,0.3,0.25,median,minmax,26,50,iterative,"{'scaler__scaler_name': 'robust', 'outlier_remover__threshold': 2, 'outlier_remover__outlier_method': 'LOF', 'outlier_remover__n_neighbors': 90, 'outlier_remover__metric_LOF': 'euclidean', 'outlier_remover__max_samples_IF': 0.7, 'outlier_remover__estimators_IF': 200, 'outlier_remover__contamination_LOF': 0.3, 'outlier_remover__contamination_IF': 0.25, 'imputer__simple_strategy_num': 'median', 'imputer__knn_scaling_method': 'minmax', 'imputer__knn_neighbors': 26, 'imputer__iterative_max_iter': 50, 'imputer__imputation_method': 'iterative'}",-0.31143646525332624,-0.31143646525332624,0.0,45
2,8.792964696884155,0.0,9.366828203201294,0.0,robust,4.0,LOF,70,manhattan,1.0,100,0.25,0.1,mean,standard,5,5,iterative,"{'scaler__scaler_name': 'robust', 'outlier_remover__threshold': 4, 'outlier_remover__outlier_method': 'LOF', 'outlier_remover__n_neighbors': 70, 'outlier_remover__metric_LOF': 'manhattan', 'outlier_remover__max_samples_IF': 1.0, 'outlier_remover__estimators_IF': 100, 'outlier_remover__contamination_LOF': 0.25, 'outlier_remover__contamination_IF': 0.1, 'imputer__simple_strategy_num': 'mean', 'imputer__knn_scaling_method': 'standard', 'imputer__knn_neighbors': 5, 'imputer__iterative_max_iter': 5, 'imputer__imputation_method': 'iterative'}",-0.4022070278820375,-0.4022070278820375,0.0,58
3,2.9896597862243652,0.0,1.9612140655517578,0.0,standard,4.0,z_score,70,chebyshev,0.5,50,0.03,0.15,median,minmax,19,10,iterative,"{'scaler__scaler_name': 'standard', 'outlier_remover__threshold': 4, 'outlier_remover__outlier_method': 'z_score', 'outlier_remover__n_neighbors': 70, 'outlier_remover__metric_LOF': 'chebyshev', 'outlier_remover__max_samples_IF': 0.5, 'outlier_remover__estimators_IF': 50, 'outlier_remover__contamination_LOF': 0.03, 'outlier_remover__contamination_IF': 0.15, 'imputer__simple_strategy_num': 'median', 'imputer__knn_scaling_method': 'minmax', 'imputer__knn_neighbors': 19, 'imputer__iterative_max_iter': 10, 'imputer__imputation_method': 'iterative'}",-1.0,-1.0,0.0,136
4,0.5075640678405762,0.0,0.5633149147033691,0.0,standard,2.0,z_score,90,minkowski,auto,200,0.03,0.05,median,standard,3,20,simple,"{'scaler__scaler_name': 'standard', 'outlier_remover__threshold': 2, 'outlier_remover__outlier_method': 'z_score', 'outlier_remover__n_neighbors': 90, 'outlier_remover__metric_LOF': 'minkowski', 'outlier_remover__max_samples_IF': 'auto', 'outlier_remover__estimators_IF': 200, 'outlier_remover__contamination_LOF': 0.03, 'outlier_remover__contamination_IF': 0.05, 'imputer__simple_strategy_num': 'median', 'imputer__knn_scaling_method': 'standard', 'imputer__knn_neighbors': 3, 'imputer__iterative_max_iter': 20, 'imputer__imputation_method': 'simple'}",-1.0,-1.0,0.0,136
5,2.3247997760772705,0.0,5.101712226867676,0.0,minmax,3.0,Isolation_Forest,20,manhattan,0.5,50,0.25,0.15,mean,minmax,21,20,iterative,"{'scaler__scaler_name': 'minmax', 'outlier_remover__threshold': 3, 'outlier_remover__outlier_method': 'Isolation_Forest', 'outlier_remover__n_neighbors': 20, 'outlier_remover__metric_LOF': 'manhattan', 'outlier_remover__max_samples_IF': 0.5, 'outlier_remover__estimators_IF': 50, 'outlier_remover__contamination_LOF': 0.25, 'outlier_remover__contamination_IF': 0.15, 'imputer__simple_strategy_num': 'mean', 'imputer__knn_scaling_method': 'minmax', 'imputer__knn_neighbors': 21, 'imputer__iterative_max_iter': 20, 'imputer__imputation_method': 'iterative'}",-0.5828511541106689,-0.5828511541106689,0.0,84
6,7.215707778930664,0.0,7.364799976348877,0.0,standard,2.0,z_score,90,minkowski,0.7,150,0.01,0.03,median,robust,12,10,knn,"{'scaler__scaler_name': 'standard', 'outlier_remover__threshold': 2, 'outlier_remover__outlier_method': 'z_score', 'outlier_remover__n_neighbors': 90, 'outlier_remover__metric_LOF': 'minkowski', 'outlier_remover__max_samples_IF': 0.7, 'outlier_remover__estimators_IF': 150, 'outlier_remover__contamination_LOF': 0.01, 'outlier_remover__contamination_IF': 0.03, 'imputer__simple_strategy_num': 'median', 'imputer__knn_scaling_method': 'robust', 'imputer__knn_neighbors': 12, 'imputer__iterative_max_iter': 10, 'imputer__imputation_method': 'knn'}",-1.0,-1.0,0.0,136
7,0.773129940032959,0.0,3.6273891925811768,0.0,robust,3.0,Isolation_Forest,90,chebyshev,auto,100,0.1,0.05,median,robust,29,50,simple,"{'scaler__scaler_name': 'robust', 'outlier_remover__threshold': 3, 'outlier_remover__outlier_method': 'Isolation_Forest', 'outlier_remover__n_neighbors': 90, 'outlier_remover__metric_LOF': 'chebyshev', 'outlier_remover__max_samples_IF': 'auto', 'outlier_remover__estimators_IF': 100, 'outlier_remover__contamination_LOF': 0.1, 'outlier_remover__contamination_IF': 0.05, 'imputer__simple_strategy_num': 'median', 'imputer__knn_scaling_method': 'robust', 'imputer__knn_neighbors': 29, 'imputer__iterative_max_iter': 50, 'imputer__imputation_method': 'simple'}",-0.6728612436865079,-0.6728612436865079,0.0,100
8,6.9793171882629395,0.0,9.12076187133789,0.0,minmax,4.0,LOF,20,manhattan,0.7,150,0.5,0.5,median,standard,27,10,iterative,"{'scaler__scaler_name': 'minmax', 'outlier_remover__threshold': 4, 'outlier_remover__outlier_method': 'LOF', 'outlier_remover__n_neighbors': 20, 'outlier_remover__metric_LOF': 'manhattan', 'outlier_remover__max_samples_IF': 0.7, 'outlier_remover__estimators_IF': 150, 'outlier_remover__contamination_LOF': 0.5, 'outlier_remover__contamination_IF': 0.5, 'imputer__simple_strategy_num': 'median', 'imputer__knn_scaling_method': 'standard', 'imputer__knn_neighbors': 27, 'imputer__iterative_max_iter': 10, 'imputer__imputation_method': 'iterative'}",0.024038165853059908,0.024038165853059908,0.0,20
9,1.808272123336792,0.0,2.0902609825134277,0.0,standard,4.0,z_score,10,chebyshev,auto,200,0.25,0.05,mean,standard,27,20,iterative,"{'scaler__scaler_name': 'standard', 'outlier_remover__threshold': 4, 'outlier_remover__outlier_method': 'z_score', 'outlier_remover__n_neighbors': 10, 'outlier_remover__metric_LOF': 'chebyshev', 'outlier_remover__max_samples_IF': 'auto', 'outlier_remover__estimators_IF': 200, 'outlier_remover__contamination_LOF': 0.25, 'outlier_remover__contamination_IF': 0.05, 'imputer__simple_strategy_num': 'mean', 'imputer__knn_scaling_method': 'standard', 'imputer__knn_neighbors': 27, 'imputer__iterative_max_iter': 20, 'imputer__imputation_method': 'iterative'}",-1.0,-1.0,0.0,136
